PGD ID	PGD Type	Meteorite	Technique	12C/13C	14N/15N	d(29Si/28Si)	d(30Si/28Si)
SiC-1992-VIR-000050	M	Murchison	WU 3f & ANU SHRIMP	58.31	705	58.1	32.3
SiC-1992-VIR-000051	M	Murchison	WU 3f & ANU SHRIMP	48.69	678	43.3	44.3
SiC-1993-ALE-000001	M	Murchison	WU 3f	25.9		-11.0	11.2
SiC-1993-ALE-000002	M	Murchison	WU 3f	56.1		69.9	58.8
SiC-1993-ALE-000003	M	Murchison	WU 3f	49.9		27.9	43.9
SiC-1993-ALE-000004	M	Murchison	WU 3f	48.7		124.2	142.1
SiC-1993-ALE-000005	M	Murchison	WU 3f	53.5		110.0	52.2
SiC-1993-ALE-000006	M	Murchison	WU 3f	51.1		106.8	99.1
SiC-1993-ALE-000007	M	Murchison	WU 3f	70.8		48.9	64.3
SiC-1993-ALE-000008	M	Murchison	WU 3f	60.6		117.8	102.9
SiC-1993-ALE-000009	M	Murchison	WU 3f	52.9		96.2	98.8
SiC-1993-ALE-000010	M	Murchison	WU 3f	42.6		105.0	95.8
SiC-1993-ALE-000011	M	Murchison	WU 3f	50.9		64.8	56.1
SiC-1993-ALE-000012	M	Murchison	WU 3f	68.9		53.0	49.2
SiC-1993-ALE-000013	M	Murchison	WU 3f	57.8		36.2	45.8
SiC-1993-ALE-000014	M	Murchison	WU 3f	52.0		79.8	61.8
SiC-1993-ALE-000015	M	Murchison	WU 3f	75.8		37.9	33.5
SiC-1993-ALE-000016	M	Murchison	WU 3f	53.7		99.3	85.3
SiC-1993-ALE-000017	M	Murchison	WU 3f	62.7		61.5	50.0
SiC-1993-ALE-000018	M	Murchison	WU 3f	48.1		23.6	52.4
SiC-1993-ALE-000019	M	Murchison	WU 3f	56.5		80.2	71.0
SiC-1993-ALE-000020	M	Murchison	WU 3f	54.3		114.0	118.1
SiC-1993-ALE-000021	M	Murchison	WU 3f	50.8		70.6	71.7
SiC-1993-ALE-000022	M	Murchison	WU 3f	74.9		18.6	26.2
SiC-1993-ALE-000023	M	Murchison	WU 3f	56.4		64.5	63.2
SiC-1993-ALE-000024	M	Murchison	WU 3f	64.3		31.8	37.0
SiC-1993-ALE-000025	M	Murchison	WU 3f	61.4		49.4	64.1
SiC-1993-ALE-000026	M	Murchison	WU 3f	46.1		39.5	56.8
SiC-1993-ALE-000027	M	Murchison	WU 3f	59.0		92.3	93.8
SiC-1993-ALE-000028	M	Murchison	WU 3f	46.3		-29.4	2.4
SiC-1993-ALE-000029	M	Murchison	WU 3f	62.7		33.2	30.9
